x-values	     y-values
-1.04	 -0.91
-0.91	 -0.75
-0.78	 -0.52
-0.77	 -0.43
-0.66	 -0.24
-0.63	 -0.24
-0.59	 -0.24
-0.55	 -0.29
-0.54	 -0.26
-0.48	 -0.24
-0.47	 0.05
-0.43	 -0.31
-0.43	 0.03
-0.40	 -0.16
-0.39	 -0.16
-0.29	 -0.11
-0.22	 -0.24
-0.21	 -0.43
-0.21	 -0.09
-0.20	 -0.16
-0.19	 -0.22
-0.13	 -0.23
-0.08	 -0.35
-0.06	 -0.25
-0.04	 -0.30
-0.03	 -0.32
0.08	 -0.15
0.09	 -0.25
0.14	 -0.49
0.14	 -0.12
0.15	 -0.41
0.16	 -0.20
0.24	 -0.26
0.27	 -0.42
0.29	 -0.31
0.29	 -0.37
0.41	 -0.22
0.46	 -0.45
0.53	 -0.47
0.54	 -0.40
0.56	 -0.10
0.59	 -0.21
0.63	 -0.24
0.66	 -0.13
0.70	 -0.36
0.73	 -0.29
0.78	 0.08
0.87	 -0.03
0.94	 0.24
