time (sec)	y axis data
0.0000	1.0000
0.0250	0.9750
0.0500	0.9500
0.0750	0.9250
0.1000	0.9000
0.1250	0.8750
0.1500	0.8500
0.1750	0.8250
0.2000	0.8000
0.2250	0.7750
0.2500	0.7500
0.2750	0.7250
0.3000	0.7000
0.3250	0.6750
0.3500	0.6500
0.3750	0.6250
0.4000	0.6000
0.4250	0.5750
0.4500	0.5500
0.4750	0.5250
0.5000	0.5000
0.5250	0.4750
0.5500	0.4500
0.5750	0.4250
0.6000	0.4000
0.6250	0.3750
0.6500	0.3500
0.6750	0.3250
0.7000	0.3000
0.7250	0.2750
0.7500	0.2500
0.7750	0.2250
0.8000	0.2000
0.8250	0.1750
0.8500	0.1500
0.8750	0.1250
0.9000	0.1000
0.9250	0.0750
0.9500	0.0500
0.9750	0.0250
1.0000	0.0000
1.0250	0.0000
1.0500	0.0000
1.0750	0.0000
1.1000	0.0000
1.1250	0.0000
1.1500	0.0000
1.1750	0.0000
1.2000	0.0000
1.2250	0.0000
1.2500	0.0000
1.2750	0.0000
1.3000	0.0000
1.3250	0.0000
1.3500	0.0000
1.3750	0.0000
1.4000	0.0000
1.4250	0.0000
1.4500	0.0000
1.4750	0.0000
1.5000	0.0000
1.5250	0.0000
1.5500	0.0000
1.5750	0.0000
1.6000	0.0000
1.6250	0.0000
1.6500	0.0000
1.6750	0.0000
1.7000	0.0000
1.7250	0.0000
1.7500	0.0000
1.7750	0.0000
1.8000	0.0000
1.8250	0.0000
1.8500	0.0000
1.8750	0.0000
1.9000	0.0000
1.9250	0.0000
1.9500	0.0000
1.9750	0.0000
2.0000	1.0000
2.0250	0.9750
2.0500	0.9500
2.0750	0.9250
2.1000	0.9000
2.1250	0.8750
2.1500	0.8500
2.1750	0.8250
2.2000	0.8000
2.2250	0.7750
2.2500	0.7500
2.2750	0.7250
2.3000	0.7000
2.3250	0.6750
2.3500	0.6500
2.3750	0.6250
2.4000	0.6000
2.4250	0.5750
2.4500	0.5500
2.4750	0.5250
2.5000	0.5000
2.5250	0.4750
2.5500	0.4500
2.5750	0.4250
2.6000	0.4000
2.6250	0.3750
2.6500	0.3500
2.6750	0.3250
2.7000	0.3000
2.7250	0.2750
2.7500	0.2500
2.7750	0.2250
2.8000	0.2000
2.8250	0.1750
2.8500	0.1500
2.8750	0.1250
2.9000	0.1000
2.9250	0.0750
2.9500	0.0500
2.9750	0.0250
3.0000	0.0000
3.0250	0.0000
3.0500	0.0000
3.0750	0.0000
3.1000	0.0000
3.1250	0.0000
3.1500	0.0000
3.1750	0.0000
3.2000	0.0000
3.2250	0.0000
3.2500	0.0000
3.2750	0.0000
3.3000	0.0000
3.3250	0.0000
3.3500	0.0000
3.3750	0.0000
3.4000	0.0000
3.4250	0.0000
3.4500	0.0000
3.4750	0.0000
3.5000	0.0000
3.5250	0.0000
3.5500	0.0000
3.5750	0.0000
3.6000	0.0000
3.6250	0.0000
3.6500	0.0000
3.6750	0.0000
3.7000	0.0000
3.7250	0.0000
3.7500	0.0000
3.7750	0.0000
3.8000	0.0000
3.8250	0.0000
3.8500	0.0000
3.8750	0.0000
3.9000	0.0000
3.9250	0.0000
3.9500	0.0000
3.9750	0.0000
