Fish ID #	Length (in)	Weight (oz)
1	6.5228	3.0148
2	7.0412	5.5837
3	11.6835	6.4379
4	0.9403	3.1805
5	6.1353	4.8552
6	14.8581	10.7478
7	5.7214	3.9023
8	5.7085	4.36
9	4.8817	5.965
10	11.1655	10.5426
11	0.6069	0.1482
12	7.7013	10.66
13	8.6099	5.3994
14	8.6439	8.6178
15	10.6874	10.279
16	9.655	10.4405
17	9.2699	6.4215
18	4.6448	5.709
19	8.4101	6.8231
20	3.2821	3.841
21	10.3278	8.5017
22	7.5434	7.5705
23	9.3679	6.8073
24	6.7215	6.7666
25	11.5363	14.029
26	10.7594	8.0879
27	3.5136	6.6971
28	2.6356	3.8829
29	2.6622	3.7563
30	9.8818	7.0266
31	9.6282	8.8368
32	5.3545	4.2586
33	10.082	3.9416
34	8.4149	7.2777
35	3.3982	4.2428
36	5.6048	6.6299
37	4.4484	5.757
38	11.2357	9.8254
39	7.3228	8.6207
40	3.5981	2.4554
41	4.9605	2.5826
42	6.3068	7.3778
43	10.5454	8.6616
44	8.3138	5.1533
45	10.031	10.4109
46	9.1244	7.5191
47	8.2364	7.354
48	5.7832	6.6886
49	10.1759	9.4541
50	7.369	9.9491
51	4.9243	5.2196
52	3.4498	1.5455
53	11.296	10.4467
54	9.6475	5.7108
55	4.6268	8.2624
56	7.0218	5.3708
57	10.1528	10.9932
58	5.5918	4.3442
59	8.885	5.0175
60	9.6248	9.6595
61	6.2358	3.4319
62	7.2174	8.1162
63	10.215	8.8054
64	10.0861	7.5336
65	8.8904	6.6389
66	9.4284	11.8928
67	10.0431	7.0307
68	5.4292	5.5723
69	7.4404	4.8048
70	10.8521	6.4326
71	6.9184	5.3418
72	7.4945	10.3878
73	12.7111	8.0646
74	6.6618	5.0156
75	8.711	6.3431
76	6.6049	7.9421
77	7.4392	4.0127
78	9.853	9.0582
79	6.6807	3.6766
80	8.7251	7.0153
81	9.3351	3.6976
82	4.8501	6.8655
83	9.2325	8.948
84	2.0856	3.1904
85	8.3921	7.8238
86	13.2304	9.4341
87	11.6296	10.886
88	8.1102	7.3137
89	8.1516	9.2435
90	9.2699	7.2628
91	10.1261	6.489
92	8.0007	6.9205
93	12.0394	8.1972
94	6.7401	8.3475
95	2.6997	4.762
96	5.1948	4.1113
97	7.322	6.4036
98	8.2101	9.5801
99	5.3607	5.073
100	10.8516	6.7576
