time	       exp(x)
0.000000	 1.956838
0.020000	 3.215500
0.040000	 1.689913
0.060000	 1.398275
0.080000	 2.359071
0.100000	 1.062930
0.120000	 3.544867
0.140000	 1.947202
0.160000	 3.278568
0.180000	 3.718566
0.200000	 3.472583
0.220000	 3.468491
0.240000	 2.316399
0.260000	 3.123654
0.280000	 4.586596
0.300000	 2.585282
0.320000	 2.572603
0.340000	 2.844540
0.360000	 4.434933
0.380000	 3.180484
0.400000	 4.072580
0.420000	 2.890766
0.440000	 2.674649
0.460000	 3.410682
0.480000	 3.246277
0.500000	 5.348881
0.520000	 5.497559
0.540000	 2.845970
0.560000	 4.592481
0.580000	 3.001918
0.600000	 4.201760
0.620000	 4.545986
0.640000	 5.554002
0.660000	 4.957315
0.680000	 3.894534
0.700000	 5.887093
0.720000	 5.516383
0.740000	 4.941260
0.760000	 5.980790
0.780000	 4.426881
0.800000	 4.366363
0.820000	 5.237447
0.840000	 3.666436
0.860000	 4.554243
0.880000	 4.009005
0.900000	 5.894645
0.920000	 5.646089
0.940000	 5.510708
0.960000	 6.236024
0.980000	 5.961402
1.000000	 5.146174
1.020000	 3.545144
1.040000	 3.778139
1.060000	 5.030961
1.080000	 6.333792
1.100000	 5.992249
1.120000	 6.251898
1.140000	 6.347990
1.160000	 4.523329
1.180000	 4.343583
1.200000	 5.702913
1.220000	 3.959307
1.240000	 6.166786
1.260000	 6.043962
1.280000	 4.311670
1.300000	 4.207757
1.320000	 5.206965
1.340000	 5.232038
1.360000	 5.434014
1.380000	 4.762253
1.400000	 3.218576
1.420000	 4.548993
1.440000	 2.940810
1.460000	 5.023228
1.480000	 4.665848
1.500000	 4.419698
1.520000	 3.234626
1.540000	 4.625079
1.560000	 4.585779
1.580000	 3.371375
1.600000	 2.361608
1.620000	 4.717098
1.640000	 4.418381
1.660000	 3.556064
1.680000	 4.066151
1.700000	 4.235493
1.720000	 2.769345
1.740000	 4.432469
1.760000	 3.334489
1.780000	 2.379942
1.800000	 2.227646
1.820000	 4.007508
1.840000	 2.344373
1.860000	 1.604476
1.880000	 3.901127
1.900000	 2.921809
1.920000	 3.822643
1.940000	 1.363826
1.960000	 3.174599
1.980000	 2.075639
2.000000	 2.272336
2.020000	 0.540439
2.040000	 2.005003
2.060000	 2.118308
2.080000	 1.618300
2.100000	 0.209567
2.120000	 1.483346
2.140000	 0.005155
2.160000	 2.284826
2.180000	 1.447045
2.200000	 1.646006
2.220000	 1.425467
2.240000	 1.265946
2.260000	 2.170131
2.280000	 -0.246506
2.300000	 0.562744
2.320000	 1.581950
2.340000	 0.463766
2.360000	 1.179734
2.380000	 -0.646618
2.400000	 0.811510
2.420000	 1.404553
2.440000	 -0.924300
2.460000	 -0.199647
2.480000	 -1.428086
2.500000	 -0.944082
2.520000	 0.311545
2.540000	 0.863701
2.560000	 -0.777355
2.580000	 -1.788710
2.600000	 0.788797
2.620000	 -0.568055
2.640000	 0.698408
2.660000	 -1.098287
2.680000	 -0.055609
2.700000	 -2.120676
2.720000	 -0.677441
2.740000	 -1.257823
2.760000	 -1.280992
2.780000	 0.537395
2.800000	 -0.101653
2.820000	 -1.379108
2.840000	 -0.507251
2.860000	 -1.181113
2.880000	 -0.717362
2.900000	 0.415437
2.920000	 -0.628799
2.940000	 -2.034952
2.960000	 0.020732
2.980000	 -0.320023
3.000000	 -2.173461
3.020000	 -2.014465
3.040000	 -1.603049
3.060000	 -1.215939
3.080000	 -0.891101
3.100000	 -1.637773
3.120000	 0.037006
3.140000	 -0.049396
3.160000	 -1.584506
3.180000	 -0.533798
3.200000	 -2.048517
3.220000	 -0.312753
3.240000	 -1.247140
3.260000	 -0.244777
3.280000	 -1.328574
3.300000	 -0.131736
3.320000	 -0.947601
3.340000	 -0.906771
3.360000	 -1.412094
3.380000	 0.192319
3.400000	 0.530865
3.420000	 0.908950
3.440000	 -0.269180
3.460000	 -1.170903
3.480000	 0.121797
3.500000	 -1.026780
3.520000	 -0.322464
3.540000	 1.075289
3.560000	 -0.125027
3.580000	 1.438255
3.600000	 -0.144123
3.620000	 0.908489
3.640000	 0.658396
3.660000	 -0.724526
3.680000	 0.291924
3.700000	 1.912153
3.720000	 -0.610686
3.740000	 0.460699
3.760000	 0.117547
3.780000	 0.167212
3.800000	 0.644310
3.820000	 2.435334
3.840000	 1.261425
3.860000	 2.255283
3.880000	 0.988672
3.900000	 1.406744
3.920000	 2.977290
3.940000	 0.616625
3.960000	 0.522550
3.980000	 2.524012
4.000000	 3.295108
4.020000	 0.920935
4.040000	 2.643462
4.060000	 1.220511
4.080000	 2.957888
4.100000	 2.846144
4.120000	 1.193314
4.140000	 3.548201
4.160000	 4.204702
4.180000	 2.647208
4.200000	 2.461298
4.220000	 1.662632
4.240000	 2.279982
4.260000	 3.434482
4.280000	 3.581464
4.300000	 2.619527
4.320000	 3.908286
4.340000	 2.207411
4.360000	 4.928999
4.380000	 2.463842
4.400000	 3.265290
4.420000	 4.291870
4.440000	 3.924004
4.460000	 4.076711
4.480000	 3.691013
4.500000	 4.928043
4.520000	 3.534440
4.540000	 4.698151
4.560000	 5.578091
4.580000	 3.862481
4.600000	 5.367368
4.620000	 5.344149
4.640000	 3.405951
4.660000	 3.554389
4.680000	 4.373915
4.700000	 5.235018
4.720000	 5.187593
4.740000	 5.293196
4.760000	 3.317489
4.780000	 3.708471
4.800000	 5.644889
4.820000	 5.906628
4.840000	 5.646595
4.860000	 6.261321
4.880000	 6.206004
4.900000	 4.132288
4.920000	 5.005646
4.940000	 5.849906
4.960000	 5.061436
4.980000	 5.350696
5.000000	 5.174722
5.020000	 5.691496
5.040000	 3.684287
5.060000	 4.965045
5.080000	 4.166116
5.100000	 4.475238
5.120000	 5.101776
5.140000	 5.658807
5.160000	 4.642666
5.180000	 4.903736
5.200000	 3.740087
5.220000	 3.967149
5.240000	 4.167818
5.260000	 4.603161
5.280000	 3.935328
5.300000	 3.962810
5.320000	 5.803668
5.340000	 4.840646
5.360000	 5.849008
5.380000	 4.835481
5.400000	 3.679208
5.420000	 3.178077
5.440000	 4.450631
5.460000	 4.078270
5.480000	 4.761424
5.500000	 4.899639
5.520000	 3.751905
5.540000	 4.186176
5.560000	 3.029024
5.580000	 5.169307
5.600000	 3.801776
5.620000	 3.014990
5.640000	 2.794899
5.660000	 4.885909
5.680000	 4.013524
5.700000	 3.985590
5.720000	 3.748104
5.740000	 4.028346
5.760000	 3.345782
5.780000	 3.025904
5.800000	 4.063245
5.820000	 2.515821
5.840000	 1.973976
5.860000	 1.999310
5.880000	 3.776457
5.900000	 3.077329
5.920000	 3.435167
5.940000	 1.918376
5.960000	 2.587436
5.980000	 0.688903
6.000000	 3.260101
6.020000	 1.815008
6.040000	 1.871338
6.060000	 2.516611
6.080000	 1.132650
6.100000	 1.908652
6.120000	 0.918562
6.140000	 0.778891
6.160000	 1.692166
6.180000	 0.964102
6.200000	 -0.118391
6.220000	 0.192239
6.240000	 2.310975
6.260000	 1.405249
6.280000	 1.201013
6.300000	 0.116321
6.320000	 -0.885795
6.340000	 0.684294
6.360000	 -0.998476
6.380000	 -0.392022
6.400000	 -0.691380
6.420000	 0.009178
6.440000	 0.893694
6.460000	 0.399873
6.480000	 -0.609540
6.500000	 -0.745191
6.520000	 -1.452192
6.540000	 -1.234502
6.560000	 0.352301
6.580000	 -1.602119
6.600000	 0.826386
6.620000	 -0.692211
6.640000	 -1.793815
6.660000	 -0.365794
6.680000	 0.366397
6.700000	 -1.130916
6.720000	 0.125186
6.740000	 -0.128246
6.760000	 -0.516502
6.780000	 -1.191661
6.800000	 -1.171694
6.820000	 -1.095955
6.840000	 -1.136673
6.860000	 -1.770977
6.880000	 -0.956568
6.900000	 -2.343456
6.920000	 -0.781895
6.940000	 -2.339257
6.960000	 0.122764
6.980000	 0.081555
7.000000	 -1.485226
7.020000	 0.423572
7.040000	 0.370245
7.060000	 0.479177
7.080000	 -2.003191
7.100000	 -2.454310
7.120000	 -1.702322
7.140000	 -1.388880
7.160000	 -1.705733
7.180000	 -0.113208
7.200000	 -1.675387
7.220000	 -0.977313
7.240000	 -1.510996
7.260000	 -1.215880
7.280000	 0.494384
7.300000	 -2.134917
7.320000	 -1.732252
7.340000	 -0.918038
7.360000	 0.488879
7.380000	 -1.341443
7.400000	 0.878652
7.420000	 1.038936
7.440000	 -0.685764
7.460000	 1.204255
7.480000	 -1.320649
7.500000	 0.661552
7.520000	 0.184444
7.540000	 0.379534
7.560000	 0.057441
7.580000	 -0.677370
7.600000	 -0.830953
7.620000	 0.719277
7.640000	 1.299767
7.660000	 0.981806
7.680000	 0.469548
7.700000	 1.971463
7.720000	 0.997105
7.740000	 -0.011200
7.760000	 1.447157
7.780000	 0.445715
7.800000	 1.819705
7.820000	 2.657456
7.840000	 0.563130
7.860000	 2.641179
7.880000	 2.027017
7.900000	 0.316474
7.920000	 0.861617
7.940000	 3.021648
7.960000	 1.750981
7.980000	 3.053351
8.000000	 2.837892
8.020000	 0.649084
8.040000	 3.000657
8.060000	 2.839720
8.080000	 3.479001
8.100000	 2.710832
8.120000	 2.940458
8.140000	 1.487871
8.160000	 1.887152
8.180000	 1.446083
8.200000	 2.760686
8.220000	 2.495956
8.240000	 2.466256
8.260000	 3.180800
8.280000	 2.322453
8.300000	 4.663347
8.320000	 4.765805
8.340000	 3.801513
8.360000	 2.109906
8.380000	 4.895269
