time	       exp(x)
0.000000	 -0.161899
0.050000	 0.021716
0.100000	 -0.050643
0.150000	 -0.066708
0.200000	 -0.176794
0.250000	 -0.001339
0.300000	 0.170789
0.350000	 0.062858
0.400000	 0.163176
0.450000	 0.133063
0.500000	 0.259690
0.550000	 0.268175
0.600000	 0.435603
0.650000	 0.270179
0.700000	 0.441900
0.750000	 0.464022
0.800000	 0.293835
0.850000	 0.608932
0.900000	 0.434082
0.950000	 0.524267
1.000000	 0.662045
1.050000	 0.844153
1.100000	 0.761224
1.150000	 0.933920
1.200000	 0.782241
1.250000	 0.816819
1.300000	 0.880957
1.350000	 0.924443
1.400000	 0.768798
1.450000	 0.810952
1.500000	 0.818536
1.550000	 0.758633
1.600000	 0.902062
1.650000	 0.825705
1.700000	 0.750390
1.750000	 0.782303
1.800000	 0.849485
1.850000	 0.638870
1.900000	 0.543713
1.950000	 0.400031
2.000000	 0.699352
2.050000	 0.599672
2.100000	 0.427039
2.150000	 0.378852
2.200000	 0.633267
2.250000	 0.313156
2.300000	 0.121349
2.350000	 0.317079
2.400000	 0.177888
2.450000	 0.186915
2.500000	 0.131113
2.550000	 -0.303115
2.600000	 -0.161651
2.650000	 0.033652
2.700000	 -0.255163
2.750000	 -0.396288
2.800000	 -0.375398
2.850000	 -0.346336
2.900000	 -0.518352
2.950000	 -0.398924
3.000000	 -0.645264
3.050000	 -0.876072
3.100000	 -0.816761
3.150000	 -0.803105
3.200000	 -0.791894
3.250000	 -0.636630
3.300000	 -0.982844
3.350000	 -1.055328
3.400000	 -0.943774
3.450000	 -1.190509
3.500000	 -1.003322
3.550000	 -0.992105
3.600000	 -1.074724
3.650000	 -1.003361
3.700000	 -1.060850
3.750000	 -0.890467
3.800000	 -0.933402
3.850000	 -0.966510
3.900000	 -1.038833
3.950000	 -0.962901
4.000000	 -0.916497
4.050000	 -0.870313
4.100000	 -0.860001
4.150000	 -0.936955
4.200000	 -0.702834
4.250000	 -0.670509
4.300000	 -0.925323
4.350000	 -0.780584
4.400000	 -0.703986
4.450000	 -0.620967
4.500000	 -0.381776
4.550000	 -0.390513
4.600000	 -0.363918
4.650000	 -0.313920
4.700000	 -0.449780
4.750000	 -0.243379
4.800000	 -0.256454
4.850000	 -0.354484
4.900000	 -0.320431
4.950000	 0.022737
5.000000	 -0.064975
5.050000	 0.052813
5.100000	 0.074448
5.150000	 0.058931
5.200000	 0.154876
5.250000	 0.292965
5.300000	 0.087638
5.350000	 0.391083
5.400000	 0.281869
5.450000	 0.474100
5.500000	 0.450753
5.550000	 0.462509
5.600000	 0.418453
5.650000	 0.485459
5.700000	 0.687676
5.750000	 0.513329
5.800000	 0.838428
5.850000	 0.767496
5.900000	 0.652500
5.950000	 0.747581
6.000000	 0.608884
6.050000	 0.625912
6.100000	 0.818476
6.150000	 0.445496
6.200000	 0.708176
6.250000	 0.683971
6.300000	 0.608183
6.350000	 0.828265
6.400000	 0.624299
6.450000	 0.719908
6.500000	 0.569187
6.550000	 0.661595
6.600000	 0.337381
6.650000	 0.666584
6.700000	 0.568124
6.750000	 0.445278
6.800000	 0.591021
6.850000	 0.541874
6.900000	 0.267626
6.950000	 0.433434
7.000000	 0.402956
7.050000	 0.255273
7.100000	 0.280098
7.150000	 0.434881
7.200000	 0.205738
7.250000	 0.101273
7.300000	 0.201667
7.350000	 0.218377
7.400000	 0.066492
7.450000	 0.015332
7.500000	 0.108045
7.550000	 0.133702
7.600000	 -0.093086
7.650000	 -0.030966
7.700000	 -0.312573
7.750000	 -0.212923
7.800000	 -0.258281
7.850000	 -0.343679
7.900000	 -0.261190
7.950000	 -0.354720
8.000000	 -0.398898
8.050000	 -0.206750
8.100000	 -0.335367
8.150000	 -0.223460
8.200000	 -0.326654
8.250000	 -0.190389
8.300000	 -0.342138
8.350000	 -0.338179
8.400000	 -0.297597
8.450000	 -0.514936
8.500000	 -0.523464
8.550000	 -0.286994
8.600000	 -0.326732
8.650000	 -0.473774
8.700000	 -0.408574
8.750000	 -0.422857
8.800000	 -0.306987
8.850000	 -0.333897
8.900000	 -0.561838
8.950000	 -0.290749
9.000000	 -0.369027
9.050000	 -0.353004
9.100000	 -0.331526
9.150000	 -0.310532
9.200000	 -0.350835
9.250000	 -0.382594
9.300000	 -0.301826
9.350000	 -0.295880
9.400000	 -0.148511
9.450000	 0.025753
9.500000	 -0.275288
9.550000	 -0.094465
9.600000	 -0.118769
9.650000	 -0.122042
9.700000	 -0.045131
9.750000	 -0.056839
9.800000	 -0.060563
9.850000	 -0.191663
9.900000	 -0.117782
9.950000	 0.118134
10.000000	 0.080439
10.050000	 0.064523
10.100000	 0.168999
10.150000	 0.097982
10.200000	 0.074007
10.250000	 0.064573
10.300000	 0.050348
10.350000	 0.108373
10.400000	 -0.013282
10.450000	 0.114857
10.500000	 0.292697
10.550000	 0.154310
10.600000	 0.201141
10.650000	 0.221767
10.700000	 0.420552
10.750000	 0.105679
10.800000	 0.067885
10.850000	 0.258529
10.900000	 0.320876
10.950000	 0.159536
11.000000	 0.148400
11.050000	 0.222173
11.100000	 0.162806
11.150000	 0.280704
11.200000	 0.244120
11.250000	 -0.115814
11.300000	 0.223783
11.350000	 0.106702
11.400000	 0.125980
11.450000	 0.241014
11.500000	 0.113235
11.550000	 0.052714
11.600000	 0.157616
11.650000	 0.106336
11.700000	 0.123279
11.750000	 -0.019913
11.800000	 0.244988
11.850000	 0.123955
11.900000	 0.139784
11.950000	 -0.003524
12.000000	 0.092034
12.050000	 0.221331
12.100000	 0.082034
12.150000	 0.179215
12.200000	 0.123960
12.250000	 0.067601
12.300000	 0.041322
12.350000	 0.002543
12.400000	 0.118574
12.450000	 0.064578
12.500000	 -0.132825
12.550000	 0.130373
12.600000	 -0.016657
12.650000	 0.043687
12.700000	 0.012646
12.750000	 0.079907
12.800000	 -0.149181
12.850000	 -0.077156
12.900000	 -0.098840
12.950000	 0.069786
13.000000	 0.157476
13.050000	 -0.120598
13.100000	 -0.041337
13.150000	 -0.242502
13.200000	 -0.114620
13.250000	 -0.203643
13.300000	 -0.058676
13.350000	 0.089700
13.400000	 -0.118085
13.450000	 -0.079941
13.500000	 -0.016215
13.550000	 -0.211956
13.600000	 -0.265824
13.650000	 -0.124566
13.700000	 -0.196644
13.750000	 0.026785
13.800000	 0.042355
13.850000	 -0.176028
13.900000	 0.022887
13.950000	 -0.235777
14.000000	 -0.063716
14.050000	 -0.088258
14.100000	 -0.099379
14.150000	 -0.141930
14.200000	 -0.181431
14.250000	 -0.107778
14.300000	 -0.020681
14.350000	 -0.037209
14.400000	 0.038506
14.450000	 -0.118557
14.500000	 -0.146745
14.550000	 -0.029049
14.600000	 -0.088774
14.650000	 0.058961
14.700000	 -0.176446
14.750000	 -0.077136
14.800000	 -0.011193
14.850000	 -0.072472
14.900000	 -0.108410
14.950000	 0.102602
15.000000	 0.089191
15.050000	 0.174090
15.100000	 0.073741
15.150000	 -0.041056
15.200000	 -0.008381
15.250000	 0.057690
15.300000	 0.144814
15.350000	 0.010344
15.400000	 -0.132959
15.450000	 -0.062561
15.500000	 0.105136
15.550000	 0.047502
15.600000	 0.136359
15.650000	 0.090037
15.700000	 -0.091929
15.750000	 0.177202
15.800000	 -0.070269
15.850000	 0.049761
15.900000	 0.066393
15.950000	 0.098360
16.000000	 0.194902
16.050000	 0.156546
16.100000	 -0.041883
16.150000	 -0.039871
16.200000	 0.156218
16.250000	 0.113595
16.300000	 0.071146
16.350000	 0.051565
16.400000	 0.111995
16.450000	 0.001500
16.500000	 0.263610
16.550000	 0.045090
16.600000	 0.043383
16.650000	 0.000913
16.700000	 0.064641
16.750000	 0.054295
16.800000	 -0.054715
16.850000	 0.124870
16.900000	 -0.036492
16.950000	 -0.059224
17.000000	 0.072706
17.050000	 -0.024034
17.100000	 -0.008609
17.150000	 -0.127326
17.200000	 -0.048123
17.250000	 0.075581
17.300000	 -0.012243
17.350000	 0.002253
17.400000	 -0.094849
17.450000	 -0.166035
17.500000	 -0.083414
17.550000	 -0.056121
17.600000	 -0.048660
17.650000	 0.099618
17.700000	 -0.039832
17.750000	 0.118686
17.800000	 0.139606
17.850000	 -0.000082
17.900000	 -0.070425
17.950000	 -0.006573
18.000000	 -0.061286
18.050000	 -0.044700
18.100000	 0.048458
18.150000	 0.055103
18.200000	 -0.152180
18.250000	 -0.137641
18.300000	 0.099551
18.350000	 -0.076212
18.400000	 -0.081050
18.450000	 0.124946
18.500000	 0.050156
18.550000	 0.094723
18.600000	 -0.080548
18.650000	 0.136471
18.700000	 -0.070992
18.750000	 -0.014166
18.800000	 -0.114094
18.850000	 -0.011207
18.900000	 -0.056221
18.950000	 0.022095
19.000000	 -0.139113
19.050000	 -0.135770
19.100000	 -0.112771
19.150000	 -0.096497
19.200000	 -0.104245
19.250000	 -0.072789
19.300000	 -0.177687
19.350000	 -0.106393
19.400000	 -0.222762
19.450000	 -0.176845
19.500000	 0.028684
19.550000	 -0.127204
19.600000	 -0.023007
19.650000	 -0.082576
19.700000	 0.073962
19.750000	 -0.241056
19.800000	 -0.003489
19.850000	 0.151259
19.900000	 0.087960
19.950000	 0.065760
20.000000	 -0.040945
