t (sec)	y (voltage)
0.05	1.1117
0.1	0.8758
0.15	1.0862
0.2	1.0423
0.25	1.1709
0.3	0.9361
0.35	1.0954
0.4	1.119
0.45	0.8652
0.5	1.0234
0.55	1.2396
0.6	1.0169
0.65	0.9537
0.7	1.0685
0.75	0.9587
0.8	1.0665
0.85	0.9798
0.9	0.9973
0.95	1.0691
1	1.2043
1.05	1.0678
1.1	1.2473
1.15	0.6957
1.2	0.9326
1.25	1.0354
1.3	0.8747
1.35	0.8086
1.4	1.0926
1.45	1.0919
1.5	1.0434
1.55	1.0593
1.6	0.8694
1.65	0.9253
1.7	0.984
1.75	0.8968
1.8	1.0498
1.85	1.3548
1.9	0.9277
1.95	1.0971
2	0.8448
2.05	1.2009
2.1	0.8546
2.15	1.0313
2.2	0.9072
2.25	1.0768
2.3	1.0017
2.35	0.9934
2.4	1.4424
2.45	0.9055
2.5	0.993
2.55	1.4025
2.6	0.828
2.65	1.0829
2.7	0.8385
2.75	1.1546
2.8	1.0491
2.85	1.0978
2.9	0.9582
2.95	1.0368
3	1.2209
3.05	0.6587
3.1	0.755
3.15	1.0623
3.2	0.9018
3.25	0.9555
3.3	0.7755
3.35	0.8643
3.4	0.9394
3.45	0.8911
3.5	0.87
3.55	0.9367
3.6	0.8586
3.65	1.2013
3.7	0.8517
3.75	1.2727
3.8	0.9438
3.85	0.7822
3.9	0.9072
3.95	1.1402
4	1.1584
4.05	-0.976
4.1	-0.9569
4.15	-0.9051
4.2	-1.2189
4.25	-1.0873
4.3	-1.2745
4.35	-1.0674
4.4	-0.8576
4.45	-0.8924
4.5	-0.6568
4.55	-0.975
4.6	-1.3235
4.65	-0.7466
4.7	-0.8077
4.75	-1.0874
4.8	-0.9666
4.85	-0.8831
4.9	-0.9423
4.95	-0.8955
5	-1.0169
5.05	-1.0058
5.1	-0.9868
5.15	-1.1184
5.2	-0.7866
5.25	-0.9991
5.3	-0.897
5.35	-1.1282
5.4	-1.1613
5.45	-1.0136
5.5	-1.0379
5.55	-0.8208
5.6	-0.9091
5.65	-0.9189
5.7	-1.2167
5.75	-1.1452
5.8	-0.9697
5.85	-1.0522
5.9	-0.8065
5.95	-0.7988
6	-1.0871
6.05	-0.8687
6.1	-0.7907
6.15	-0.9519
6.2	-0.7565
6.25	-0.8406
6.3	-0.9679
6.35	-0.8685
6.4	-0.9708
6.45	-1.0622
6.5	-0.9462
6.55	-0.9946
6.6	-1.0547
6.65	-0.7343
6.7	-0.9668
6.75	-0.5904
6.8	-1.0444
6.85	-0.9154
6.9	-0.7626
6.95	-0.5906
7	-0.9545
7.05	-1.1185
7.1	-0.8795
7.15	-1.198
7.2	-1.0411
7.25	-0.9592
7.3	-0.7766
7.35	-0.7844
7.4	-1.0041
7.45	-0.8614
7.5	-1.0482
7.55	-0.9008
7.6	-0.7127
7.65	-0.9765
7.7	-1.0451
7.75	-1.075
7.8	-0.8925
7.85	-0.7994
7.9	-0.6811
7.95	-0.9919
8	-0.9755
8.05	0.9051
8.1	1.2418
8.15	0.9887
8.2	0.929
8.25	1.3276
8.3	1.1215
8.35	1.1075
8.4	0.8492
8.45	1.0651
8.5	1.078
8.55	0.8362
8.6	0.9661
8.65	0.9393
8.7	1.0792
8.75	0.849
8.8	1.1634
8.85	1.2677
8.9	0.9544
8.95	0.9987
9	1.076
9.05	1.1805
9.1	1.0783
9.15	1.0596
9.2	0.9276
9.25	0.9653
9.3	1.092
9.35	1.2524
9.4	1.0853
9.45	0.8191
9.5	1.065
9.55	0.9862
9.6	0.9634
9.65	0.9671
9.7	0.868
9.75	0.9519
9.8	0.8823
9.85	0.9453
9.9	1.0176
9.95	1.0262
10	0.9677
10.05	0.9771
10.1	1.0051
10.15	1.0687
10.2	1.1922
10.25	1.093
10.3	0.957
10.35	1.0897
10.4	0.9632
10.45	0.7329
10.5	0.6479
10.55	0.743
10.6	0.9644
10.65	0.9071
10.7	0.892
10.75	1.0061
10.8	0.9012
10.85	0.9054
10.9	1.0914
10.95	1.1174
11	1.3655
11.05	1.0454
11.1	1.0087
11.15	0.9139
11.2	0.9707
11.25	0.9924
11.3	0.7366
11.35	0.9614
11.4	1.1124
11.45	0.9144
11.5	1.0741
11.55	1.1487
11.6	1.1616
11.65	1.1165
11.7	0.661
11.75	0.9153
11.8	1.1352
11.85	1.0592
11.9	1.0007
11.95	1.0655
12	1.1695
12.05	-0.9769
12.1	-1.1138
12.15	-1.027
12.2	-1.0312
12.25	-0.8655
12.3	-0.9382
12.35	-0.9179
12.4	-0.9778
12.45	-1.0543
12.5	-0.9908
12.55	-0.9675
12.6	-1.2097
12.65	-0.9732
12.7	-0.8609
12.75	-1.0165
12.8	-0.7641
12.85	-0.9159
12.9	-1.0631
12.95	-1.0231
13	-1.0413
13.05	-0.9638
13.1	-0.8868
13.15	-1.0438
13.2	-0.9312
13.25	-0.7367
13.3	-0.8603
13.35	-0.8762
13.4	-1.1222
13.45	-1.0801
13.5	-0.9636
13.55	-1.0151
13.6	-1.2438
13.65	-1.2272
13.7	-0.8461
13.75	-1.1137
13.8	-0.6882
13.85	-1.3333
13.9	-0.9327
13.95	-0.9999
14	-1.1134
14.05	-0.9394
14.1	-1.1191
14.15	-0.871
14.2	-0.99
14.25	-1.2459
14.3	-1.3637
